local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
512.8,202.5,0.011872729045034279,0.013397580000000001,4.518054180763315,0.01321248704503428,107.3,79.7,33.6
467.7,276.2,0.0059001986061319065,0.17639716173829376,6.302117278257797,0.023539914779961278,81.6,19.9,195.2
476.7,162.6,0.011084121733913996,0.01330940375,4.861002259157754,0.012415062108913997,102.4,68.0,45.7
458.4,219.3,0.010569760778413692,0.01203158625,4.88088708111844,0.011772919403413693,107.8,66.4,42.9
451.2,284.2,0.00440732931095846,0.22238471867352566,6.324754926967924,0.02664580117831103,85.4,18.2,216.3
548.4,153.3,0.01136697139254466,0.006900896250000001,4.570531584004673,0.012057061017544661,105.5,78.0,24.3
526.8,234.5,0.007970005410349647,0.10628181125000002,6.0254738125048775,0.01859818653534965,85.6,30.0,150.7
541.9,169.4,0.010590263102025921,0.017981721250000002,4.850066265768121,0.012388435227025924,103.5,66.1,50.3
546.9,222.6,0.011525399068331072,0.00875830375,4.608624748603544,0.012401229443331071,106.3,79.7,26.9
537.5,302.0,0.00718025674306665,0.17767658706647002,6.053105628496969,0.024947915449713653,78.9,30.0,181.4
609.1,199.5,0.010515783684002456,0.044937831250000004,5.2079622469761615,0.015009566809002459,106.7,56.8,77.9
602.7,228.3,0.008873106764660566,0.14829737443683264,6.069550975875532,0.02370284420834383,117.6,27.1,177.2
596.3,168.7,0.011033984258926374,0.02021457375,5.205188743233013,0.013055441633926376,117.4,58.8,63.3
527.8,222.8,0.010567261263984006,0.02141073,4.937276298328626,0.012708334263984006,118.9,66.3,53.4
461.7,288.3,0.0042704951420836045,0.19702002724070827,6.6761111220832206,0.023972497866154432,85.1,9.0,223.6
518.0,149.8,0.010405028254909335,0.01956214125,4.913390970136294,0.012361242379909335,106.3,65.6,45.9
497.2,210.2,0.009728175429450061,0.007358275,5.226056473605035,0.01046400292945006,111.7,53.5,36.8
503.6,285.1,0.007045889671438418,0.18911375135657588,5.815845584814932,0.025957264807096002,69.4,37.7,175.7
541.2,178.8,0.010499081417785404,0.04479433843065279,4.952285125476779,0.014978515260850683,105.5,68.4,64.5
531.1,219.8,0.011063562762120147,0.02567777625,4.923155312238609,0.01363134038712015,108.0,67.8,44.1
504.4,283.7,0.004512664756656105,0.22135905903464032,6.71976004396919,0.026648570660120142,95.0,10.0,220.5
581.1,158.2,0.01148692216156828,0.03619760500000001,4.957139646778529,0.015106682661568283,99.7,69.2,59.0
586.4,198.9,0.011733561328078995,0.04748597472284531,4.953849474216969,0.016482158800363526,100.6,70.0,63.7
564.8,235.8,0.012012108704100164,0.0037375099999999994,4.69009471617846,0.012385859704100163,99.0,80.0,21.4
539.9,313.4,0.00576521949551073,0.21155591331647003,6.447532882314166,0.02692081082715773,81.9,20.0,211.1
602.2,184.2,0.011403150908531367,0.028001610000000003,5.255044100200321,0.014203311908531366,109.5,59.8,70.2
570.3,223.5,0.010687067662649891,0.0889760206519503,5.580922501095832,0.019584669727844922,110.1,49.1,115.1
526.7,218.5,0.011538016494060723,0.01319708,4.716066951075534,0.012857724494060724,107.6,78.6,32.8
519.3,293.3,0.0051450576003216055,0.16716869250000005,6.78828156349699,0.02186192685032161,94.2,10.0,215.4
604.8,172.1,0.011228038580048675,0.03318504625,5.616495212253925,0.014546543205048676,121.0,50.0,82.7
584.7,210.4,0.0117281473092142,0.048971811715174826,5.003134860808416,0.016625328480731685,102.3,70.0,65.0
527.7,247.7,0.005091408478229937,0.188864013785549,6.796852063955535,0.023977809856784844,96.2,10.0,222.9
562.6,121.0,0.011592189348650911,0.0086878575,5.02003281760795,0.012460975098650911,116.0,69.6,39.6
516.6,197.4,0.01148919129806387,0.007106514999999999,5.32111971829284,0.012199842798063871,112.5,60.0,42.8
513.7,267.1,0.005533590804193274,0.18534155605711958,6.5025047843581065,0.02406774640990523,84.6,20.0,198.1
566.2,153.6,0.011259192447759045,0.00294079625,4.468498721451111,0.011553272072759045,80.5,86.8,13.3
614.4,220.8,0.010429890751691416,0.051835341250000014,5.33894039751095,0.015613424876691418,87.4,59.8,78.5
620.1,229.7,0.011396335249746207,0.03735264125,5.071724937797187,0.015131599374746207,103.0,68.9,60.7
632.1,272.0,0.012006581812570265,0.00942368875,4.7770996723407375,0.012948950687570265,108.4,80.0,31.1
569.3,349.3,0.006453484675641975,0.22002673505866127,6.577095795489552,0.028456158181508106,73.3,20.0,204.9
617.2,217.7,0.011725895997028404,0.019560960000000002,4.7676379653282055,0.013681991997028404,105.4,79.2,38.4
